epoch,accuracy,compute_f1_score,loss,lr,val_accuracy,val_compute_f1_score,val_loss
0,0.9469283819198608,0.5358814597129822,0.27216824889183044,1e-04,0.9578676819801331,0.0005729916738346219,0.2820078730583191
1,0.9688273668289185,0.6621984839439392,0.14572516083717346,1e-04,0.9578847885131836,0.0,0.16817525029182434
2,0.9708512425422668,0.6971079111099243,0.1288711577653885,1e-04,0.9582545757293701,0.24961794912815094,0.1498137265443802
3,0.9717772006988525,0.7149931788444519,0.11752944439649582,1e-04,0.9685918092727661,0.573951005935669,0.12154223024845123
4,0.9728484749794006,0.728111207485199,0.10402930527925491,1e-04,0.9799975156784058,0.6397932767868042,0.07792841643095016
5,0.9737558960914612,0.7416908144950867,0.09678344428539276,1e-04,0.9832187294960022,0.7290985584259033,0.08769962191581726
6,0.9738859534263611,0.7468234896659851,0.09436235576868057,1e-04,0.9750561714172363,0.5737782716751099,0.08302760869264603
7,0.9727916717529297,0.7358630895614624,0.09830726683139801,1e-04,0.9579530358314514,2.3538130335509777e-05,0.19079452753067017
8,0.9733715057373047,0.7390601634979248,0.09112022817134857,1e-04,0.9802916646003723,0.6658414602279663,0.07810749858617783
9,0.9765522480010986,0.7586614489555359,0.08277604728937149,1e-05,0.984079897403717,0.7459722757339478,0.06726711243391037
10,0.9770544767379761,0.7655820846557617,0.07912890613079071,1e-05,0.9847179651260376,0.7657610774040222,0.06414245069026947
11,0.9773467183113098,0.7701801061630249,0.07724803686141968,1e-05,0.9848896265029907,0.7700710296630859,0.0626722201704979
12,0.97758948802948,0.77394700050354,0.07575781643390656,1e-05,0.9850505590438843,0.7738928198814392,0.06159164756536484
13,0.9778541326522827,0.7774127721786499,0.0744660347700119,1e-05,0.9851868152618408,0.7775188088417053,0.060660067945718765
14,0.9782990217208862,0.7810611128807068,0.07331220805644989,1e-05,0.985306978225708,0.7809630036354065,0.05982962250709534
15,0.9788106679916382,0.7845460176467896,0.07226241379976273,1e-05,0.9854058027267456,0.7838983535766602,0.059094686061143875
16,0.9794597029685974,0.7878502607345581,0.07129381597042084,1e-05,0.9855021238327026,0.7868314385414124,0.05842868611216545
17,0.9802811741828918,0.7909891605377197,0.07038231194019318,1e-05,0.9855870604515076,0.7899118661880493,0.05779536813497543
18,0.9809479117393494,0.7936369776725769,0.06952318549156189,1e-05,0.9856742024421692,0.7931006550788879,0.057282641530036926
19,0.9813248515129089,0.7959704399108887,0.068711057305336,1e-05,0.9857804179191589,0.7964998483657837,0.0566885769367218
20,0.9813803434371948,0.7975290417671204,0.0680290162563324,1e-05,0.9858087301254272,0.7966005802154541,0.0563168004155159
21,0.9817885160446167,0.7998834252357483,0.06729743629693985,1e-05,0.9859247207641602,0.7999514937400818,0.05563974753022194
22,0.9818005561828613,0.8008551001548767,0.06683103740215302,1e-05,0.9859743714332581,0.8027441501617432,0.054636530578136444
23,0.9814607501029968,0.8022630214691162,0.06609132140874863,1e-05,0.9860062599182129,0.7971909642219543,0.054357774555683136
24,0.9824277758598328,0.8046695590019226,0.06535574793815613,1e-05,0.9860875010490417,0.8059510588645935,0.054036982357501984
25,0.9824705719947815,0.8064338564872742,0.06461875885725021,1e-05,0.9861958622932434,0.8043736219406128,0.05397908389568329
26,0.9829775094985962,0.8079767227172852,0.06392022967338562,1e-05,0.9862138032913208,0.8084797263145447,0.052786316722631454
27,0.9826783537864685,0.8089351058006287,0.0633343905210495,1e-05,0.9862201809883118,0.8006621599197388,0.05413038283586502
28,0.9832898378372192,0.8098404407501221,0.06295008957386017,1e-05,0.9862468242645264,0.8043121099472046,0.050642337650060654
29,0.983037531375885,0.8105371594429016,0.06256060302257538,1e-05,0.9863765835762024,0.8090327382087708,0.05246293544769287
30,0.9834567308425903,0.8130868077278137,0.061366647481918335,1e-05,0.9864612221717834,0.8130870461463928,0.051846880465745926
31,0.983507513999939,0.8142624497413635,0.060763608664274216,1e-05,0.9864633679389954,0.8144657611846924,0.05240269750356674
32,0.9833905100822449,0.8148846626281738,0.06026981770992279,1e-05,0.9864782094955444,0.8055398464202881,0.05080857127904892
33,0.9836502075195312,0.8158076405525208,0.05924137681722641,1e-06,0.9866529703140259,0.8132660984992981,0.05009949952363968
34,0.9837844371795654,0.8168016076087952,0.058494873344898224,1e-06,0.9866906404495239,0.8151906132698059,0.04943745955824852
35,0.9838660955429077,0.8175949454307556,0.05803856998682022,1e-06,0.9866955876350403,0.8161744475364685,0.04946343973278999
36,0.9839251637458801,0.8181712031364441,0.05771927908062935,1e-06,0.986711323261261,0.8171975612640381,0.04926317557692528
37,0.983966052532196,0.8186125159263611,0.05745367705821991,1e-06,0.9867192506790161,0.8176382780075073,0.04941835626959801
38,0.9839995503425598,0.8189566731452942,0.05724677816033363,1e-06,0.9867263436317444,0.8183508515357971,0.049164701253175735
39,0.984024703502655,0.8192524909973145,0.05702389404177666,1e-06,0.9867343306541443,0.8189718723297119,0.04934278503060341
40,0.9840473532676697,0.8194940686225891,0.05685465782880783,1e-06,0.9867400527000427,0.819417417049408,0.04909033328294754
41,0.9840724468231201,0.8197188377380371,0.056657493114471436,1e-06,0.986746609210968,0.819798469543457,0.04925825446844101
42,0.984093189239502,0.8199493885040283,0.05650399252772331,1e-06,0.9867537617683411,0.820126473903656,0.049009058624506
43,0.9841204881668091,0.8201408982276917,0.05632150173187256,1e-06,0.9867604374885559,0.8203771114349365,0.049155354499816895
44,0.9841358065605164,0.8203398585319519,0.05617600679397583,1e-06,0.9867696762084961,0.8207235932350159,0.0489063523709774
